index,movie_name,year_of_release,category,run_time,genre,imdb_rating,votes,gross_total,seen
61,The Lives of Others,-2006,R,137 min,"Drama, Mystery, Thriller",8.4,"391,480",$11.29M,No
62,The Prestige,-2006,PG-13,130 min,"Drama, Mystery, Sci-Fi",8.5,"1,336,235",$53.09M,Yes
63,V for Vendetta,-2005,R,132 min,"Action, Drama, Sci-Fi",8.2,"1,125,038",$70.51M,Yes
64,Chinatown,-1974,R,130 min,"Drama, Mystery, Thriller",8.2,"329,110",$8.49M,Yes
65,City of God,-2002,R,130 min,"Crime, Drama",8.6,"758,914",$7.56M,No
66,To Have and Have Not,-1944,Passed,100 min,"Adventure, Comedy, Film-Noir",7.8,"35,528",,No
67,Fargo,-1996,R,98 min,"Crime, Thriller",8.1,"681,256",$24.61M,Yes
68,Life of Pi,-2012,PG,127 min,"Adventure, Drama, Fantasy",7.9,"634,357",$124.99M,Yes
69,Slumdog Millionaire,-2008,R,120 min,"Crime, Drama, Romance",8,"848,344",$141.32M,Yes
70,Vertigo,-1958,PG,128 min,"Mystery, Romance, Thriller",8.3,"404,626",$3.20M,Yes
71,Trainspotting,-1996,R,93 min,Drama,8.1,"690,138",$16.50M,Yes
72,Interstellar,-2014,PG-13,169 min,"Adventure, Drama, Sci-Fi",8.6,"1,835,790",$188.02M,Yes
73,The Thing,-1982,R,109 min,"Horror, Mystery, Sci-Fi",8.2,"428,474",$13.78M,Yes
74,The Third Man,-1949,Approved,93 min,"Film-Noir, Mystery, Thriller",8.1,"173,206",$0.45M,Yes
75,12 Monkeys,-1995,R,129 min,"Mystery, Sci-Fi, Thriller",8,"621,205",$57.14M,No
76,Life Is Beautiful,-1997,PG-13,116 min,"Comedy, Drama, Romance",8.6,"697,226",$57.60M,No
77,The Pianist,-2002,R,150 min,"Biography, Drama, Music",8.5,"834,842",$32.57M,Yes
78,Magnolia,-1999,R,188 min,Drama,8,"315,037",$22.46M,Yes
79,The Dark Knight Rises,-2012,PG-13,164 min,"Action, Drama",8.4,"1,708,002",$448.14M,Yes
80,Star Wars: Episode VII - The Force Awakens,-2015,PG-13,138 min,"Action, Adventure, Sci-Fi",7.8,"933,771",$936.66M,No
81,The Hobbit: The Desolation of Smaug,-2013,PG-13,161 min,"Adventure, Fantasy",7.8,"667,864",$258.37M,Yes
82,Mad Max: Fury Road,-2015,R,120 min,"Action, Adventure, Sci-Fi",8.1,"1,006,158",$154.06M,No
83,12 Years a Slave,-2013,R,134 min,"Biography, Drama, History",8.1,"703,824",$56.67M,No
84,Indiana Jones and the Last Crusade,-1989,PG-13,127 min,"Action, Adventure",8.2,"758,057",$197.17M,No
85,"O Brother, Where Art Thou?",-2000,PG-13,107 min,"Adventure, Comedy, Crime",7.7,"315,173",$45.51M,Yes
86,Inglourious Basterds,-2009,R,153 min,"Adventure, Drama, War",8.3,"1,453,288",$120.54M,Yes
87,The Departed,-2006,R,151 min,"Crime, Drama, Thriller",8.5,"1,328,252",$132.38M,No
88,A Beautiful Mind,-2001,PG-13,135 min,"Biography, Drama",8.2,"935,549",$170.74M,Yes
89,District 9,-2009,R,112 min,"Action, Sci-Fi, Thriller",7.9,"685,403",$115.65M,No
90,The Piano,-1993,R,121 min,"Drama, Music, Romance",7.5,"89,819",$40.16M,No
91,Mystic River,-2003,R,138 min,"Crime, Drama, Mystery",7.9,"459,918",$90.14M,No
92,The Insider,-1999,R,157 min,"Biography, Drama, Thriller",7.8,"172,759",$28.97M,Yes
93,L.A. Confidential,-1997,R,138 min,"Crime, Drama, Mystery",8.2,"585,555",$64.62M,No
94,Heat,-1995,R,170 min,"Action, Crime, Drama",8.3,"658,033",$67.44M,Yes
95,The Usual Suspects,-1995,R,106 min,"Crime, Drama, Mystery",8.5,"1,087,832",$23.34M,Yes
96,Cool Hand Luke,-1967,GP,127 min,"Crime, Drama",8.1,"178,888",$16.22M,No
97,Eternal Sunshine of the Spotless Mind,-2004,R,108 min,"Drama, Romance, Sci-Fi",8.3,"1,011,004",$34.40M,Yes
98,City Lights,-1931,G,87 min,"Comedy, Drama, Romance",8.5,"186,059",$0.02M,No
99,The Matrix,-1999,R,136 min,"Action, Sci-Fi",8.7,"1,916,083",$171.48M,Yes
